,Date Created,Tweet ID,Tweet Content,Description,URL,Media
0,2023-05-31 10:27:42+00:00,1663854758841692161,berair gaesss https://t.co/Ax79u9Y89b,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1663854758841692161,"[Photo(previewUrl='https://pbs.twimg.com/media/FxczFPyaUAAMrf9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FxczFPyaUAAMrf9?format=jpg&name=orig', altText=None)]"
1,2023-05-29 11:39:48+00:00,1663148128638468099,Kuey Teow Kerang 😍 https://t.co/tsRBxlc5wS,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1663148128638468099,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1663147950518992899/pu/img/zB4h2GJttbBEbQ4E.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1663147950518992899/pu/vid/480x852/UNo8kW01mv6upQnR.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1663147950518992899/pu/vid/320x568/haHwJGtdRmwjwVoW.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1663147950518992899/pu/pl/9cte5x8fpjRXEVyS.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1663147950518992899/pu/vid/720x1280/j3KsE1x-AA7P3LsL.mp4?tag=12', contentType='video/mp4', bitrate=2176000)], duration=119.6, views=22682, altText=None)]"
2,2023-05-26 11:35:02+00:00,1662059768234807297,Nasi Bujang 🤤 https://t.co/01IRZWudOu,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1662059768234807297,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1662059538663772161/pu/img/zOOgZSNOkh8ohwis.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1662059538663772161/pu/vid/480x852/uYcAbZzIlcSD3JxR.mp4?tag=12', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1662059538663772161/pu/vid/320x568/cOvfoUv6NEfwRZOg.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1662059538663772161/pu/vid/720x1280/JCmcuBpokIs1RuHg.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1662059538663772161/pu/pl/xyNzGD_zccsl3Q_Z.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=115.566, views=42343, altText=None)]"
3,2023-05-24 11:35:13+00:00,1661335034966704129,Murtabak Maggi 😍 https://t.co/2blg9Yoyp3,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1661335034966704129,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1661334849293279234/pu/img/ITR1nUjIFlhS1klF.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1661334849293279234/pu/vid/320x568/loKE4HpYInHERQx1.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1661334849293279234/pu/pl/nHXPOgNsO65vt15p.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1661334849293279234/pu/vid/720x1280/QAkAsn9L6r5vBuPt.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1661334849293279234/pu/vid/480x852/Rc5Ml5AxZtpbMIXd.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=98.733, views=35216, altText=None)]"
4,2023-05-03 12:36:01+00:00,1653740190496854017,hi awucks https://t.co/xlYkHpmwv3,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1653740190496854017,"[Photo(previewUrl='https://pbs.twimg.com/media/FvND7uiacAEz8WV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FvND7uiacAEz8WV?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FvND7uiaIAA_EZe?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FvND7uiaIAA_EZe?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FvND7ukaMAA9VYQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FvND7ukaMAA9VYQ?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FvND7ukakAMIC3H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FvND7ukakAMIC3H?format=jpg&name=orig', altText=None)]"
5,2023-04-22 15:05:09+00:00,1649791454565511168,"I'm a simple man, my wife is adjusting her tudung, I proceed to take solo O'Od  first. No pain no gain. https://t.co/Vht6J03F5a",Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1649791454565511168,"[Photo(previewUrl='https://pbs.twimg.com/media/FuU8lG1agAAHVG_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuU8lG1agAAHVG_?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FuU8lG2aYAIcjEI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuU8lG2aYAIcjEI?format=jpg&name=orig', altText=None)]"
6,2023-04-22 09:57:54+00:00,1649714132818722816,"Alhamdulillah, tahun ini saya menyambut hari raya Aidilfitri bersama isteri tercinta 💕 https://t.co/WXwS0aHGmU",Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1649714132818722816,"[Photo(previewUrl='https://pbs.twimg.com/media/FuT2Pi3agAAQFIq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuT2Pi3agAAQFIq?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FuT2PiYagAc9Gpr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuT2PiYagAc9Gpr?format=jpg&name=orig', altText=None)]"
7,2023-04-21 06:41:03+00:00,1649302206280257538,Rendang Daging Simple Tapi Perform 🤤 https://t.co/L5QjGjptm3,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1649302206280257538,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1649301856693395456/pu/img/A9dlJYGnzpmRjESU.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1649301856693395456/pu/vid/320x568/lLubZePKlCWG6_NK.mp4?tag=12', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1649301856693395456/pu/pl/z-ExdaFRg6NgJjdi.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1649301856693395456/pu/vid/720x1280/S8rSwV6zz16rkUCs.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1649301856693395456/pu/vid/480x852/ljHOLABqGWpZlbM-.mp4?tag=12', contentType='video/mp4', bitrate=950000)], duration=97.3, views=10844, altText=None)]"
8,2023-04-19 06:47:33+00:00,1648579066105327617,Eh aku dengar cerita hari raya jatuh pada hari raya pertama nanti? https://t.co/b5lN4lSCWj,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1648579066105327617,"[Photo(previewUrl='https://pbs.twimg.com/media/FuDt6zXaYAAIBgp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuDt6zXaYAAIBgp?format=jpg&name=orig', altText=None)]"
9,2023-04-18 15:30:03+00:00,1648348170940989442,https://t.co/QyYQK7jJ7u,Hanya ingin menjadi seorang manusia yang lebih baik daripada sebelumnya,https://twitter.com/aimansalim_/status/1648348170940989442,"[Photo(previewUrl='https://pbs.twimg.com/media/FuAb7JpaEAAOayn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FuAb7JpaEAAOayn?format=jpg&name=orig', altText=None)]"
